&H0000C02C, "TLS-ECDHE-ECDSA-WITH-AES-256-GCM-SHA384"
&H0000C030, "TLS-ECDHE-RSA-WITH-AES-256-GCM-SHA384"
&H0000009F, "TLS-DHE-RSA-WITH-AES-256-GCM-SHA384"
&H0000C0AD, "TLS-ECDHE-ECDSA-WITH-AES-256-CCM"
&H0000C09F, "TLS-DHE-RSA-WITH-AES-256-CCM"
&H0000C024, "TLS-ECDHE-ECDSA-WITH-AES-256-CBC-SHA384"
&H0000C028, "TLS-ECDHE-RSA-WITH-AES-256-CBC-SHA384"
&H0000006B, "TLS-DHE-RSA-WITH-AES-256-CBC-SHA256"
&H0000C00A, "TLS-ECDHE-ECDSA-WITH-AES-256-CBC-SHA"
&H0000C014, "TLS-ECDHE-RSA-WITH-AES-256-CBC-SHA"
&H00000039, "TLS-DHE-RSA-WITH-AES-256-CBC-SHA"
&H0000C0AF, "TLS-ECDHE-ECDSA-WITH-AES-256-CCM-8"
&H0000C0A3, "TLS-DHE-RSA-WITH-AES-256-CCM-8"
&H0000C087, "TLS-ECDHE-ECDSA-WITH-CAMELLIA-256-GCM-SHA384"
&H0000C08B, "TLS-ECDHE-RSA-WITH-CAMELLIA-256-GCM-SHA384"
&H0000C07D, "TLS-DHE-RSA-WITH-CAMELLIA-256-GCM-SHA384"
&H0000C073, "TLS-ECDHE-ECDSA-WITH-CAMELLIA-256-CBC-SHA384"
&H0000C077, "TLS-ECDHE-RSA-WITH-CAMELLIA-256-CBC-SHA384"
&H000000C4, "TLS-DHE-RSA-WITH-CAMELLIA-256-CBC-SHA256"
&H00000088, "TLS-DHE-RSA-WITH-CAMELLIA-256-CBC-SHA"
&H0000C02B, "TLS-ECDHE-ECDSA-WITH-AES-128-GCM-SHA256"
&H0000C02F, "TLS-ECDHE-RSA-WITH-AES-128-GCM-SHA256"
&H0000009E, "TLS-DHE-RSA-WITH-AES-128-GCM-SHA256"
&H0000C0AC, "TLS-ECDHE-ECDSA-WITH-AES-128-CCM"
&H0000C09E, "TLS-DHE-RSA-WITH-AES-128-CCM"
&H0000C023, "TLS-ECDHE-ECDSA-WITH-AES-128-CBC-SHA256"
&H0000C027, "TLS-ECDHE-RSA-WITH-AES-128-CBC-SHA256"
&H00000067, "TLS-DHE-RSA-WITH-AES-128-CBC-SHA256"
&H0000C009, "TLS-ECDHE-ECDSA-WITH-AES-128-CBC-SHA"
&H0000C013, "TLS-ECDHE-RSA-WITH-AES-128-CBC-SHA"
&H00000033, "TLS-DHE-RSA-WITH-AES-128-CBC-SHA"
&H0000C0AE, "TLS-ECDHE-ECDSA-WITH-AES-128-CCM-8"
&H0000C0A2, "TLS-DHE-RSA-WITH-AES-128-CCM-8"
&H0000C086, "TLS-ECDHE-ECDSA-WITH-CAMELLIA-128-GCM-SHA256"
&H0000C08A, "TLS-ECDHE-RSA-WITH-CAMELLIA-128-GCM-SHA256"
&H0000C07C, "TLS-DHE-RSA-WITH-CAMELLIA-128-GCM-SHA256"
&H0000C072, "TLS-ECDHE-ECDSA-WITH-CAMELLIA-128-CBC-SHA256"
&H0000C076, "TLS-ECDHE-RSA-WITH-CAMELLIA-128-CBC-SHA256"
&H000000BE, "TLS-DHE-RSA-WITH-CAMELLIA-128-CBC-SHA256"
&H00000045, "TLS-DHE-RSA-WITH-CAMELLIA-128-CBC-SHA"
&H0000C008, "TLS-ECDHE-ECDSA-WITH-3DES-EDE-CBC-SHA"
&H0000C012, "TLS-ECDHE-RSA-WITH-3DES-EDE-CBC-SHA"
&H00000016, "TLS-DHE-RSA-WITH-3DES-EDE-CBC-SHA"
&H000000AB, "TLS-DHE-PSK-WITH-AES-256-GCM-SHA384"
&H0000C0A7, "TLS-DHE-PSK-WITH-AES-256-CCM"
&H0000C038, "TLS-ECDHE-PSK-WITH-AES-256-CBC-SHA384"
&H000000B3, "TLS-DHE-PSK-WITH-AES-256-CBC-SHA384"
&H0000C036, "TLS-ECDHE-PSK-WITH-AES-256-CBC-SHA"
&H00000091, "TLS-DHE-PSK-WITH-AES-256-CBC-SHA"
&H0000C091, "TLS-DHE-PSK-WITH-CAMELLIA-256-GCM-SHA384"
&H0000C09B, "TLS-ECDHE-PSK-WITH-CAMELLIA-256-CBC-SHA384"
&H0000C097, "TLS-DHE-PSK-WITH-CAMELLIA-256-CBC-SHA384"
&H0000C0AB, "TLS-DHE-PSK-WITH-AES-256-CCM-8"
&H000000AA, "TLS-DHE-PSK-WITH-AES-128-GCM-SHA256"
&H0000C0A6, "TLS-DHE-PSK-WITH-AES-128-CCM"
&H0000C037, "TLS-ECDHE-PSK-WITH-AES-128-CBC-SHA256"
&H000000B2, "TLS-DHE-PSK-WITH-AES-128-CBC-SHA256"
&H0000C035, "TLS-ECDHE-PSK-WITH-AES-128-CBC-SHA"
&H00000090, "TLS-DHE-PSK-WITH-AES-128-CBC-SHA"
&H0000C090, "TLS-DHE-PSK-WITH-CAMELLIA-128-GCM-SHA256"
&H0000C096, "TLS-DHE-PSK-WITH-CAMELLIA-128-CBC-SHA256"
&H0000C09A, "TLS-ECDHE-PSK-WITH-CAMELLIA-128-CBC-SHA256"
&H0000C0AA, "TLS-DHE-PSK-WITH-AES-128-CCM-8"
&H0000C034, "TLS-ECDHE-PSK-WITH-3DES-EDE-CBC-SHA"
&H0000008F, "TLS-DHE-PSK-WITH-3DES-EDE-CBC-SHA"
&H0000009D, "TLS-RSA-WITH-AES-256-GCM-SHA384"
&H0000C09D, "TLS-RSA-WITH-AES-256-CCM"
&H0000003D, "TLS-RSA-WITH-AES-256-CBC-SHA256"
&H00000035, "TLS-RSA-WITH-AES-256-CBC-SHA"
&H0000C032, "TLS-ECDH-RSA-WITH-AES-256-GCM-SHA384"
&H0000C02A, "TLS-ECDH-RSA-WITH-AES-256-CBC-SHA384"
&H0000C00F, "TLS-ECDH-RSA-WITH-AES-256-CBC-SHA"
&H0000C02E, "TLS-ECDH-ECDSA-WITH-AES-256-GCM-SHA384"
&H0000C026, "TLS-ECDH-ECDSA-WITH-AES-256-CBC-SHA384"
&H0000C005, "TLS-ECDH-ECDSA-WITH-AES-256-CBC-SHA"
&H0000C0A1, "TLS-RSA-WITH-AES-256-CCM-8"
&H0000C07B, "TLS-RSA-WITH-CAMELLIA-256-GCM-SHA384"
&H000000C0, "TLS-RSA-WITH-CAMELLIA-256-CBC-SHA256"
&H00000084, "TLS-RSA-WITH-CAMELLIA-256-CBC-SHA"
&H0000C08D, "TLS-ECDH-RSA-WITH-CAMELLIA-256-GCM-SHA384"
&H0000C079, "TLS-ECDH-RSA-WITH-CAMELLIA-256-CBC-SHA384"
&H0000C089, "TLS-ECDH-ECDSA-WITH-CAMELLIA-256-GCM-SHA384"
&H0000C075, "TLS-ECDH-ECDSA-WITH-CAMELLIA-256-CBC-SHA384"
&H0000009C, "TLS-RSA-WITH-AES-128-GCM-SHA256"
&H0000C09C, "TLS-RSA-WITH-AES-128-CCM"
&H0000003C, "TLS-RSA-WITH-AES-128-CBC-SHA256"
&H0000002F, "TLS-RSA-WITH-AES-128-CBC-SHA256"
&H0000C031, "TLS-ECDH-RSA-WITH-AES-128-GCM-SHA256"
&H0000C029, "TLS-ECDH-RSA-WITH-AES-128-CBC-SHA256"
&H0000C00E, "TLS-ECDH-RSA-WITH-AES-128-CBC-SHA"
&H0000C02D, "TLS-ECDH-ECDSA-WITH-AES-128-GCM-SHA256"
&H0000C025, "TLS-ECDH-ECDSA-WITH-AES-128-CBC-SHA256"
&H0000C004, "TLS-ECDH-ECDSA-WITH-AES-128-CBC-SHA"
&H0000C0A0, "TLS-RSA-WITH-AES-128-CCM-8"
&H0000C07A, "TLS-RSA-WITH-CAMELLIA-128-GCM-SHA256"
&H000000BA, "TLS-RSA-WITH-CAMELLIA-128-CBC-SHA256"
&H00000041, "TLS-RSA-WITH-CAMELLIA-128-CBC-SHA"
&H0000C08C, "TLS-ECDH-RSA-WITH-CAMELLIA-128-GCM-SHA256"
&H0000C078, "TLS-ECDH-RSA-WITH-CAMELLIA-128-CBC-SHA256"
&H0000C088, "TLS-ECDH-ECDSA-WITH-CAMELLIA-128-GCM-SHA256"
&H0000C074, "TLS-ECDH-ECDSA-WITH-CAMELLIA-128-CBC-SHA256"
&H0000000A, "TLS-RSA-WITH-3DES-EDE-CBC-SHA"
&H0000C00D, "TLS-ECDH-RSA-WITH-3DES-EDE-CBC-SHA"
&H0000C003, "TLS-ECDH-ECDSA-WITH-3DES-EDE-CBC-SHA"
&H000000AD, "TLS-RSA-PSK-WITH-AES-256-GCM-SHA384"
&H000000B7, "TLS-RSA-PSK-WITH-AES-256-CBC-SHA384"
&H00000095, "TLS-RSA-PSK-WITH-AES-256-CBC-SHA"
&H0000C093, "TLS-RSA-PSK-WITH-CAMELLIA-256-GCM-SHA384"
&H0000C099, "TLS-RSA-PSK-WITH-CAMELLIA-256-CBC-SHA384"
&H000000AC, "TLS-RSA-PSK-WITH-AES-128-GCM-SHA256"
&H000000B6, "TLS-RSA-PSK-WITH-AES-128-CBC-SHA256"
&H00000094, "TLS-RSA-PSK-WITH-AES-128-CBC-SHA"
&H0000C092, "TLS-RSA-PSK-WITH-CAMELLIA-128-GCM-SHA256"
&H0000C098, "TLS-RSA-PSK-WITH-CAMELLIA-128-CBC-SHA256"
&H00000093, "TLS-RSA-PSK-WITH-3DES-EDE-CBC-SHA"
&H000000A9, "TLS-PSK-WITH-AES-256-GCM-SHA384"
&H0000C0A5, "TLS-PSK-WITH-AES-256-CCM"
&H000000AF, "TLS-PSK-WITH-AES-256-CBC-SHA384"
&H0000008D, "TLS-PSK-WITH-AES-256-CBC-SHA"
&H0000C08F, "TLS-PSK-WITH-CAMELLIA-256-GCM-SHA384"
&H0000C095, "TLS-PSK-WITH-CAMELLIA-256-CBC-SHA384"
&H0000C0A9, "TLS-PSK-WITH-AES-256-CCM-8"
&H000000A8, "TLS-PSK-WITH-AES-128-GCM-SHA256"
&H0000C0A4, "TLS-PSK-WITH-AES-128-CCM"
&H000000AE, "TLS-PSK-WITH-AES-128-CBC-SHA256"
&H0000008C, "TLS-PSK-WITH-AES-128-CBC-SHA"
&H0000C08E, "TLS-PSK-WITH-CAMELLIA-128-GCM-SHA256"
&H0000C094, "TLS-PSK-WITH-CAMELLIA-128-CBC-SHA256"
&H0000C0A8, "TLS-PSK-WITH-AES-128-CCM-8"
&H0000008B, "TLS-PSK-WITH-3DES-EDE-CBC-SHA"
&H0000C007, "TLS-ECDHE-ECDSA-WITH-RC4-128-SHA"
&H0000C011, "TLS-ECDHE-RSA-WITH-RC4-128-SHA"
&H0000C033, "TLS-ECDHE-PSK-WITH-RC4-128-SHA"
&H0000008E, "TLS-DHE-PSK-WITH-RC4-128-SHA"
&H00000005, "TLS-RSA-WITH-RC4-128-SHA"
&H00000004, "TLS-RSA-WITH-RC4-128-MD5"
&H0000C00C, "TLS-ECDH-RSA-WITH-RC4-128-SHA"
&H0000C002, "TLS-ECDH-ECDSA-WITH-RC4-128-SHA"
&H00000092, "TLS-RSA-PSK-WITH-RC4-128-SHA"
&H0000008A, "TLS-PSK-WITH-RC4-128-SHA"
&H00000015, "TLS-DHE-RSA-WITH-DES-CBC-SHA"
&H00000009, "TLS-RSA-WITH-DES-CBC-SHA"
&H0000C006, "TLS-ECDHE-ECDSA-WITH-NULL-SHA"
&H0000C010, "TLS-ECDHE-RSA-WITH-NULL-SHA"
&H0000C03B, "TLS-ECDHE-PSK-WITH-NULL-SHA384"
&H0000C03A, "TLS-ECDHE-PSK-WITH-NULL-SHA256"
&H0000C039, "TLS-ECDHE-PSK-WITH-NULL-SHA"
&H000000B5, "TLS-DHE-PSK-WITH-NULL-SHA384"
&H000000B4, "TLS-DHE-PSK-WITH-NULL-SHA256"
&H0000002D, "TLS-DHE-PSK-WITH-NULL-SHA"
&H0000003B, "TLS-RSA-WITH-NULL-SHA256"
&H00000002, "TLS-RSA-WITH-NULL-SHA"
&H00000001, "TLS-RSA-WITH-NULL-MD5"
&H0000C00B, "TLS-ECDH-RSA-WITH-NULL-SHA"
&H0000C001, "TLS-ECDH-ECDSA-WITH-NULL-SHA"
&H000000B9, "TLS-RSA-PSK-WITH-NULL-SHA384"
&H000000B8, "TLS-RSA-PSK-WITH-NULL-SHA256"
&H0000002E, "TLS-RSA-PSK-WITH-NULL-SHA"
&H000000B1, "TLS-PSK-WITH-NULL-SHA384"
&H000000B0, "TLS-PSK-WITH-NULL-SHA256"
&H0000002C, "TLS-PSK-WITH-NULL-SHA"
